"provider","service_type","address_type","address_data"
"AdGuard","HTTPS","DOMAIN","dns-family.adguard.com"
"AdGuard","HTTPS","DOMAIN","dns.adguard.com"
"AhaDNS","HTTPS","DOMAIN","doh.au.ahadns.net"
"AhaDNS","HTTPS","DOMAIN","doh.chi.ahadns.net"
"AhaDNS","HTTPS","DOMAIN","doh.es.ahadns.net"
"AhaDNS","HTTPS","DOMAIN","doh.in.ahadns.net"
"AhaDNS","HTTPS","DOMAIN","doh.it.ahadns.net"
"AhaDNS","HTTPS","DOMAIN","doh.la.ahadns.net"
"AhaDNS","HTTPS","DOMAIN","doh.nl.ahadns.net"
"AhaDNS","HTTPS","DOMAIN","doh.no.ahadns.net"
"AhaDNS","HTTPS","DOMAIN","doh.ny.ahadns.net"
"AhaDNS","HTTPS","DOMAIN","doh.pl.ahadns.net"
"AhaDNS Blitz","HTTPS","DOMAIN","blitz.ahadns.com"
"Alibaba","HTTPS","DOMAIN","dns.alidns.com"
"Andrews & Arnold","HTTPS","DOMAIN","dns.aa.net.uk"
"Applied Privacy","HTTPS","DOMAIN","doh.applied-privacy.net"
"Association 42l","HTTPS","DOMAIN","doh.42l.fr"
"BebasDNS","HTTPS","DOMAIN","dns.bebasid.com"
"Blokada","HTTPS","DOMAIN","dns.blokada.org"
"CIRA Canadian Shield","HTTPS","DOMAIN","family.canadianshield.cira.ca"
"CIRA Canadian Shield","HTTPS","DOMAIN","private.canadianshield.cira.ca"
"CIRA Canadian Shield","HTTPS","DOMAIN","protected.canadianshield.cira.ca"
"CZ.NIC","HTTPS","DOMAIN","odvr.nic.cz"
"Charter","HTTPS","DOMAIN","doh-01.spectrum.com"
"Charter","HTTPS","DOMAIN","doh-02.spectrum.com"
"CleanBrowsing","HTTPS","DOMAIN","doh.cleanbrowsing.org"
"Cloudflare","HTTPS","DOMAIN","cloudflare-dns.com"
"Cloudflare","HTTPS","DOMAIN","dns64.cloudflare-dns.com"
"Cloudflare","HTTPS","DOMAIN","family.cloudflare-dns.com"
"Cloudflare","HTTPS","DOMAIN","mozilla.cloudflare-dns.com"
"Cloudflare","HTTPS","DOMAIN","security.cloudflare-dns.com"
"Cloudflare","HTTPS","DOMAIN","tor.cloudflare-dns.com"
"Comcast","HTTPS","DOMAIN","doh.xfinity.com"
"ControlD","HTTPS","DOMAIN","freedns.controld.com"
"DNS.SB","HTTPS","DOMAIN","doh.dns.sb"
"DNSlify","HTTPS","DOMAIN","doh.dnslify.com"
"Digitale Gesellschaft","HTTPS","DOMAIN","dns.digitale-gesellschaft.ch"
"FAELIX","HTTPS","DOMAIN","rdns.faelix.net"
"Google","HTTPS","DOMAIN","8888.google"
"Google","HTTPS","DOMAIN","dns.google"
"Google","HTTPS","DOMAIN","dns64.dns.google"
"Hostux.net","HTTPS","DOMAIN","dns.hostux.net"
"Hurricane Electric","HTTPS","DOMAIN","ordns.he.net"
"LavaDNS","HTTPS","DOMAIN","eu1.dns.lavate.ch"
"LavaDNS","HTTPS","DOMAIN","us1.dns.lavate.ch"
"LibreDNS","HTTPS","DOMAIN","doh.libredns.gr"
"Moulticast","HTTPS","DOMAIN","dns.moulticast.net"
"Mullvad","HTTPS","DOMAIN","adblock.doh.mullvad.net"
"Mullvad","HTTPS","DOMAIN","doh.mullvad.net"
"MyDNS","HTTPS","DOMAIN","adblock.mydns.network"
"MyDNS","HTTPS","DOMAIN","freedom.mydns.network"
"NekomimiRouter","HTTPS","DOMAIN","dns.dns-over-https.com"
"NextDNS","HTTPS","DOMAIN","dns.nextdns.io"
"OpenDNS","HTTPS","DOMAIN","doh.familyshield.opendns.com"
"OpenDNS","HTTPS","DOMAIN","doh.opendns.com"
"Plan9","HTTPS","DOMAIN","draco.plan9-ns2.com"
"Plan9","HTTPS","DOMAIN","hydra.plan9-ns1.com"
"PureDNS","HTTPS","DOMAIN","puredns.org"
"Quad9","HTTPS","DOMAIN","dns.quad9.net"
"Quad9","HTTPS","DOMAIN","dns10.quad9.net"
"Quad9","HTTPS","DOMAIN","dns11.quad9.net"
"Quad9","HTTPS","DOMAIN","dns9.quad9.net"
"Restena","HTTPS","DOMAIN","kaitain.restena.lu"
"RethinkDNS","HTTPS","DOMAIN","basic.rethinkdns.com"
"Rubyfish","HTTPS","DOMAIN","dns.rubyfish.cn"
"SWITCH","HTTPS","DOMAIN","dns.switch.ch"
"Snopyta","HTTPS","DOMAIN","fi.doh.dns.snopyta.org"
"TWNIC","HTTPS","DOMAIN","dns.twnic.tw"
"Tiarap","HTTPS","DOMAIN","doh.tiar.app"
"Tiarap","HTTPS","DOMAIN","doh.tiarap.org"
"Tiarap","HTTPS","DOMAIN","jp.tiarap.org"
"Usable Privacy","HTTPS","DOMAIN","adfree.usableprivacy.net"
"WeDNS","HTTPS","DOMAIN","dns-weblock.wevpn.com"
"WeDNS","HTTPS","DOMAIN","dns.wevpn.com"
"aaflalo.me","HTTPS","DOMAIN","dns-nyc.aaflalo.me"
"alekberg","HTTPS","DOMAIN","dnses.alekberg.net"
"alekberg","HTTPS","DOMAIN","dnsnl.alekberg.net"
"alekberg","HTTPS","DOMAIN","dnsse.alekberg.net"
"blahdns","HTTPS","DOMAIN","doh-ch.blahdns.com"
"blahdns","HTTPS","DOMAIN","doh-ch.blahdns.com"
"blahdns","HTTPS","DOMAIN","doh-de.blahdns.com"
