"provider","service_type","address_type","address_data","address_port","auth_name"
"AdGuard","DNSCRYPT","IPV4","176.103.130.130","5443","2.dnscrypt.default.ns1.adguard.com"
"AdGuard","DNSCRYPT","IPV6","2a00:5a60::ad2:0ff","5443","2.dnscrypt.default.ns2.adguard.com"
"AdGuard_Family","DNSCRYPT","IPV4","176.103.130.132","5443","2.dnscrypt.family.ns1.adguard.com"
"AdGuard_Family","DNSCRYPT","IPV6","2a00:5a60::bad2:0ff","5443","2.dnscrypt.family.ns2.adguard.com"
"AdGuard_Unfiltered","DNSCRYPT","IPV4","94.140.14.140","5443","2.dnscrypt.unfiltered.ns1.adguard.com"
"AdGuard_Unfiltered","DNSCRYPT","IPV6","2a00:5a60::01:ff","5443","2.dnscrypt.default.ns2.adguard.com"
"Yandex","DNSCRYPT","IPV4","77.88.8.78","15353","2.dnscrypt-cert.browser.yandex.net"
"CleanBrowsing","DNSCRYPT","IPV4","185.228.168.168","8443","cleanbrowsing.org"
"CleanBrowsing","DNSCRYPT","IPV6","2a0d:2a00:1::","8443","cleanbrowsing.org"
"CleanBrowsing_Adult","DNSCRYPT","IPV4","185.228.168.10","8443","cleanbrowsing.org"
"CleanBrowsing_Adult","DNSCRYPT","IPV6","2a0d:2a00:1::1","8443","cleanbrowsing.org"
"Comodo","DNSCRYPT","IPV4","8.20.247.2","","2.dnscrypt-cert.shield-2.dnsbycomodo.com"
"OpenDNS","DNSCRYPT","IPV4","208.67.220.220","","2.dnscrypt-cert.opendns.com"
"OpenDNS","DNSCRYPT","IPV6","2620:0:ccc::2","","2.dnscrypt-cert.opendns.com"
"OpenDNS_FamilyShield","DNSCRYPT","IPV4","208.67.220.123","","2.dnscrypt-cert.opendns.com"
"Quad9","DNSCRYPT","IPV4","9.9.9.9","8443","2.dnscrypt-cert.quad9.net"
"Quad9","DNSCRYPT","IPV6","2620:fe::fe","8443","2.dnscrypt-cert.quad9.net"
"Quad9_Unfiltered","DNSCRYPT","IPV4","9.9.9.10","8443","2.dnscrypt-cert.quad9.net"
