"provider","service_type","address_type","address_data","address_port","auth_name","pubkey_digest","pubkey_value"
"Applied Privacy","TLS","IPV4","146.255.56.98","853","dot1.applied-privacy.net","sha256",""
"Applied Privacy","TLS","IPV6","2a01:4f8:c0c:83ed::1","443","dot1.applied-privacy.net","sha256",""
"BlahDNS","TLS","IPV4","108.61.201.119","853","dot-jp.blahdns.com","sha256",""
"BlahDNS","TLS","IPV4","159.69.198.101","853","dot-de.blahdns.com","sha256",""
"BlahDNS","TLS","IPV6","2001:19f0:7001:1ded:5400:01ff:fe90:945b","443","dot-jp.blahdns.com","sha256",""
"BlahDNS","TLS","IPV6","2a01:4f8:1c1c:6b4b::1","443","dot-de.blahdns.com","sha256",""
"Fondation RESTENA","TLS","IPV4","158.64.1.29","853","kaitain.restena.lu","sha256","7ftvIkA+UeN/ktVkovd/7rPZ6mbkhVI7/8HnFJIiLa4="
"Fondation RESTENA","TLS","IPV6","2001:a18:1::29","853","kaitain.restena.lu","sha256","7ftvIkA+UeN/ktVkovd/7rPZ6mbkhVI7/8HnFJIiLa4="
"Go6Lab","TLS","IPV6","2001:67c:27e4::35","853","privacydns.go6lab.si","sha256","g5lqtwHia/plKqWU/Fe2Woh4+7MO3d0JYqYJpj/iYAw="
"Lorraine Data Network","TLS","IPV4","80.67.188.188","853","","sha256","WaG0kHUS5N/ny0labz85HZg+v+f0b/UQ73IZjFep0nM="
"Lorraine Data Network","TLS","IPV6","2001:913::8","443","","sha256","WaG0kHUS5N/ny0labz85HZg+v+f0b/UQ73IZjFep0nM="
"NIC Chile","TLS","IPV4","200.1.123.46","853","dnsotls.lab.nic.cl","sha256","pUd9cZpbm9H8ws0tB55m9BXW4TrD4GZfBAB0ppCziBg="
"NIC Chile","TLS","IPV6","2001:1398:1:0:200:1:123:46","853","dnsotls.lab.nic.cl","sha256","pUd9cZpbm9H8ws0tB55m9BXW4TrD4GZfBAB0ppCziBg="
"PumpleX","TLS","IPV4","51.38.83.141","853","dns.oszx.co","sha256","P/Auj1pm8MiUpeIxGcrEuMJOQV+pgPY0MR4awpclvT4="
"PumpleX","TLS","IPV6","2001:41d0:801:2000::d64:1","853","dns.oszx.co","sha256","P/Auj1pm8MiUpeIxGcrEuMJOQV+pgPY0MR4awpclvT4="
"Sinodun/Surfnet","TLS","IPV4","145.100.185.15","853","dnsovertls.sinodun.com","sha256","62lKu9HsDVbyiPenApnc4sfmSYTHOVfFgL3pyB+cBL4="
